id,x,y,m,f,total
95237159,492852,283843,74879.97,78428.66,153308.63
95237160,492852,283893,52857.76,54202.01,107059.77
95237161,492852,283943,56334.9,57762.05,114096.95
95237162,492852,283993,59715.45,61223.11,120938.56
95237163,492852,284043,59119.4,60651.04,119770.44
95237164,492852,284093,18195.31,17890.85,36086.16
95237165,492852,284143,16499.72,16238.73,32738.45
95237166,492852,284193,12761.87,12544.09,25305.96
95237167,492852,284243,81899.96,98058.23,179958.19
95237168,492852,284293,91737.82,110017.07,201754.89
95237169,492852,284343,186049.09,195424.71,381473.8
95237171,492852,284443,53149.67,68844.25,121993.92
95237172,492852,284493,18341.09,23741.01,42082.1
95237173,492852,284543,16235.73,21036.07,37271.8
95237174,492852,284593,8077.52,6919.6,14997.12
95237175,492852,284643,13044.82,11182.91,24227.73
95237176,492852,284693,7156.13,6127.01,13283.14
95237177,492852,284743,44598.62,38023.71,82622.33
95237178,492852,284793,14300.35,12195.49,26495.84
95237179,492852,284843,33439.48,28595.23,62034.71
95237180,492852,284893,28311.51,30692.98,59004.49
95237181,492852,284943,29875.39,32330.85,62206.24
95237182,492852,284993,31443.85,34095.65,65539.5
95237223,492852,287043,6064.33,2763.18,8827.51
95237224,492852,287093,6064.33,2763.18,8827.51
95249328,492902,282843,15644.08,16679.67,32323.75
95249329,492902,282893,15644.08,16679.67,32323.75
95249330,492902,282943,1067.86,1106.35,2174.21
95249331,492902,282993,2227.03,2409.69,4636.72
95249333,492902,283093,24690.07,26336.81,51026.88
95249334,492902,283143,14143.09,15091.42,29234.51
95249335,492902,283193,10495.26,10872.91,21368.17
95249336,492902,283243,32943.02,34055.75,66998.77
95249337,492902,283293,32384.94,33495.28,65880.22
95249338,492902,283343,43345.92,50673.93,94019.85
95249339,492902,283393,46127.8,53854.57,99982.37
95249340,492902,283443,37536.6,43902.65,81439.25
95249341,492902,283493,36083,42225.37,78308.37
95249342,492902,283543,29690,34641.81,64331.81
95249343,492902,283593,24733.38,28867.05,53600.43
95249344,492902,283643,47005.84,49255.65,96261.49
95249345,492902,283693,29424.66,30854.13,60278.79
95249346,492902,283743,69829.53,73184.69,143014.22
95249347,492902,283793,79016.67,82782.27,161798.94
95249348,492902,283843,78225.58,81964.09,160189.67
95249349,492902,283893,47797.5,49028.14,96825.64
95249350,492902,283943,55341.4,56742.97,112084.37
95249351,492902,283993,57693.13,59160.41,116853.54
95249352,492902,284043,47457.29,48672.88,96130.17
95249353,492902,284093,55459.46,56873.17,112332.63
95249354,492902,284143,49623.82,50890.23,100514.05
95249355,492902,284193,148726.19,178200.18,326926.37
95249356,492902,284243,230335.25,275682.13,506017.38
95249357,492902,284293,69729.24,83593.45,153322.69
95249358,492902,284343,115255.28,138260.73,253516.01
95249359,492902,284393,166580.76,188369.32,354950.08
95249360,492902,284443,58877.04,76237.21,135114.25
95249361,492902,284493,19701.66,25554.81,45256.47
95249362,492902,284543,7610.94,10042.2,17653.14
95249363,492902,284593,18366.9,15753.29,34120.19
95249364,492902,284643,30166.61,25708.14,55874.75
95249365,492902,284693,5955.32,5072.18,11027.5
95249366,492902,284743,18340.7,15728.6,34069.3
95249367,492902,284793,23267.36,19839.29,43106.65
95249368,492902,284843,29890.66,32349.83,62240.49
95249369,492902,284893,27386.91,29675.41,57062.32
95249370,492902,284943,25778.92,27912.88,53691.8
95249371,492902,284993,28418.66,30817.46,59236.12
95249372,492902,285043,28347.89,30727.92,59075.81
95249389,492902,285893,22101.07,23229.43,45330.5
95249390,492902,285943,22101.07,23229.43,45330.5
95249413,492902,287093,6064.33,2763.18,8827.51
95249414,492902,287143,6064.33,2763.18,8827.51
95261517,492952,282843,15641,16676.05,32317.05
95261518,492952,282893,15641,16676.05,32317.05
95261519,492952,282943,1099.79,1140.34,2240.13
95261520,492952,282993,933.32,967.12,1900.44
95261523,492952,283143,12828.2,13708.61,26536.81
95261524,492952,283193,29267.91,31204.21,60472.12
95261525,492952,283243,32286.09,34416,66702.09
95261526,492952,283293,31281.08,33356.6,64637.68
95261527,492952,283343,63545.43,81165.9,144711.33
95261528,492952,283393,66901.49,85473.31,152374.8
95261529,492952,283443,42745.38,54625.26,97370.64
95261530,492952,283493,48737.33,62231.94,110969.27
95261531,492952,283543,28611.89,36551.78,65163.67
95261532,492952,283593,29933.49,38310.02,68243.51
95261533,492952,283643,23054.72,24117.31,47172.03
95261534,492952,283693,26475.96,27709.56,54185.52
95261535,492952,283743,78539.93,82255.47,160795.4
95261536,492952,283793,68564.09,71801.72,140365.81
95261537,492952,283843,64139.18,67201.97,131341.15
95261538,492952,283893,59825.39,61335.4,121160.79
95261539,492952,283943,48741.94,49984.01,98725.95
95261540,492952,283993,60310.8,61867.62,122178.42
95261541,492952,284043,69598.63,71385.38,140984.01
95261542,492952,284093,65231.55,66918.05,132149.6
95261543,492952,284143,69546.33,71292.7,140839.03
95261544,492952,284193,72915.58,87503.69,160419.27
95261545,492952,284243,134541.05,161204.2,295745.25
95261546,492952,284293,48675.34,58365.1,107040.44
95261547,492952,284343,113643.79,136239.2,249882.99
95261548,492952,284393,167567.58,189351.08,356918.66
95261549,492952,284443,119567.39,135151.35,254718.74
95261550,492952,284493,46690.69,52664.94,99355.63
95261551,492952,284543,55956.4,47784.17,103740.57
95261552,492952,284593,56522.51,48229.53,104752.04
95261553,492952,284643,72146.18,61519.5,133665.68
95261554,492952,284693,4765.66,4009.47,8775.13
95261555,492952,284743,31079.53,26650.84,57730.37
95261556,492952,284793,19412.33,21005.87,40418.2
95261557,492952,284843,10679.53,11548.5,22228.03
95261558,492952,284893,26779.95,28965.21,55745.16
95261559,492952,284943,19588.93,21169.06,40757.99
95261560,492952,284993,20931.05,22644.39,43575.44
95261561,492952,285043,22023.57,23838.24,45861.81
95261562,492952,285093,22538.36,24445.95,46984.31
95261576,492952,285793,22102.84,23231.11,45333.95
95261577,492952,285843,22102.84,23231.11,45333.95
95261578,492952,285893,22102.84,23231.11,45333.95
95261579,492952,285943,22102.84,23231.11,45333.95
95261580,492952,285993,22101.07,23229.43,45330.5
95261603,492952,287143,6064.33,2763.18,8827.51
95261604,492952,287193,6065.34,2763.98,8829.32
95273706,493002,282843,15639.29,16674.18,32313.47
95273707,493002,282893,15639.29,16674.18,32313.47
95273708,493002,282943,1180.37,1221.39,2401.76
95273709,493002,282993,15639.29,16674.18,32313.47
95273710,493002,283043,1847.71,1976.33,3824.04
95273712,493002,283143,23546.92,25104.29,48651.21
95273713,493002,283193,29792.22,31768.56,61560.78
95273714,493002,283243,32336.35,34478.25,66814.6
95273715,493002,283293,35246.89,37576.18,72823.07
95273716,493002,283343,67321.41,86000.8,153322.21
95273717,493002,283393,59888.77,76526.03,136414.8
95273718,493002,283443,45727.59,58418.63,104146.22
95273719,493002,283493,30561.04,39085.04,69646.08
95273720,493002,283543,38358.91,48992.86,87351.77
95273721,493002,283593,33684.09,43038.29,76722.38
95273722,493002,283643,37030.88,38824.1,75854.98
95273723,493002,283693,39669.9,41698.82,81368.72
95273724,493002,283743,107489.63,112579.48,220069.11
95273725,493002,283793,95047.57,99582.31,194629.88
95273726,493002,283843,77920.73,81660.23,159580.96
95273727,493002,283893,51812.38,53144.18,104956.56
95273728,493002,283943,60394.33,61945.72,122340.05
95273729,493002,283993,52767.4,54121.66,106889.06
95273730,493002,284043,68235.06,70000.04,138235.1
95273731,493002,284093,56619.77,58093.27,114713.04
95273732,493002,284143,50962.22,52236.53,103198.75
95273733,493002,284193,97662.78,117150.73,214813.51
95273734,493002,284243,54559.08,65510.49,120069.57
95273735,493002,284293,56717.08,68071.11,124788.19
95273736,493002,284343,179517.11,202726.97,382244.08
95273737,493002,284393,157474.17,177820.63,335294.8
95273739,493002,284493,70737.58,79946.98,150684.56
95273740,493002,284543,48518.7,41414.42,89933.12
95273741,493002,284593,21078.64,18074.04,39152.68
95273742,493002,284643,17376.05,14895.14,32271.19
95273743,493002,284693,38826.94,33233.59,72060.53
95273744,493002,284743,12978.61,11089.67,24068.28
95273745,493002,284793,34701.02,37588.89,72289.91
95273746,493002,284843,19822.25,21447.44,41269.69
95273748,493002,284943,12714.28,13780.15,26494.43
95273749,493002,284993,13389.34,14529.76,27919.1
95273750,493002,285043,14095.69,15226.41,29322.1
95273751,493002,285093,16392.82,17757.03,34149.85
95273752,493002,285143,23923.34,25931.82,49855.16
95273764,493002,285743,22101.07,23229.43,45330.5
95273765,493002,285793,22101.07,23229.43,45330.5
95273766,493002,285843,22101.07,23229.43,45330.5
95273767,493002,285893,22101.07,23229.43,45330.5
95273768,493002,285943,22101.07,23229.43,45330.5
95273769,493002,285993,22101.07,23229.43,45330.5
95273793,493002,287193,6064.33,2763.18,8827.51
95285894,493052,282793,15639.29,16674.18,32313.47
95285895,493052,282843,15639.29,16674.18,32313.47
95285897,493052,282943,580.52,602.16,1182.68
95285898,493052,282993,15745.56,16784.65,32530.21
95285899,493052,283043,1016.21,1051.99,2068.2
95285900,493052,283093,644.46,667.86,1312.32
95285901,493052,283143,15734.95,16787.18,32522.13
95285902,493052,283193,30279.9,32280.59,62560.49
95285903,493052,283243,32838.29,35025.85,67864.14
95285904,493052,283293,32843.06,35027.67,67870.73
95285905,493052,283343,281248.53,326050.34,607298.87
95285906,493052,283393,164480.32,190535.33,355015.65
95285907,493052,283443,13253.32,15298.33,28551.65
95285908,493052,283493,90981.23,105385.66,196366.89
95285909,493052,283543,60717.9,70167.32,130885.22
95285910,493052,283593,95119.06,110141.72,205260.78
95285911,493052,283643,30577.38,32007.23,62584.61
95285912,493052,283693,34384.07,35984.46,70368.53
95285913,493052,283743,86331.8,90414.69,176746.49
95285914,493052,283793,74781.67,78342.29,153123.96
95285915,493052,283843,104436.76,109355.67,213792.43
95285916,493052,283893,37493.7,42821.87,80315.57
95285917,493052,283943,40920.43,46785.63,87706.06
95285918,493052,283993,52430.74,59923.34,112354.08
95285919,493052,284043,52301.78,59708.78,112010.56
95285920,493052,284093,38801.73,44296.74,83098.47
95285921,493052,284143,33501.48,38268.99,71770.47
95285922,493052,284193,75711.49,90669.5,166380.99
95285923,493052,284243,62893.72,75475.05,138368.77
95285924,493052,284293,55470.74,62741.15,118211.89
95285925,493052,284343,159162.89,179777.56,338940.45
95285926,493052,284393,160230.6,180933.35,341163.95
95285928,493052,284493,104480.91,117934.86,222415.77
95285929,493052,284543,45078.16,50847.55,95925.71
95285930,493052,284593,4727.35,3996.07,8723.42
95285931,493052,284643,21005.29,18010.9,39016.19
95285932,493052,284693,43957.02,37548.8,81505.82
95285933,493052,284743,21465.82,23205.97,44671.79
95285934,493052,284793,31589.66,34275.99,65865.65
95285936,493052,284893,4064.01,4371.35,8435.36
95285937,493052,284943,7902.16,8597.75,16499.91
95285938,493052,284993,9178.73,9929.83,19108.56
95285939,493052,285043,7018.15,7595.45,14613.6
95285940,493052,285093,7636.56,8290.86,15927.42
95285941,493052,285143,18646.2,20216.94,38863.14
95285942,493052,285193,17120.68,14530.55,31651.23
95285943,493052,285243,18981.47,16086.54,35068.01
95285944,493052,285293,21355.76,18129.13,39484.89
95285945,493052,285343,22461.23,18994.91,41456.14
95285946,493052,285393,23343.12,19777.5,43120.62
95285947,493052,285443,23343.04,19775.61,43118.65
95285948,493052,285493,23343.04,19775.61,43118.65
95285949,493052,285543,23344.94,19777.51,43122.45
95285950,493052,285593,23344.94,19777.51,43122.45
95285951,493052,285643,23344.94,19777.51,43122.45
95285952,493052,285693,17861.97,18787,36648.97
95285953,493052,285743,22101.07,23229.43,45330.5
95285954,493052,285793,22101.07,23229.43,45330.5
95285955,493052,285843,22101.07,23229.43,45330.5
95285956,493052,285893,22101.07,23229.43,45330.5
95285957,493052,285943,22101.07,23229.43,45330.5
95285958,493052,285993,22101.07,23229.43,45330.5
95285983,493052,287243,6065.34,2763.98,8829.32
95298083,493102,282793,15644.08,16679.67,32323.75
95298085,493102,282893,1020.53,1056.45,2076.98
95298086,493102,282943,15642.37,16677.8,32320.17
95298087,493102,282993,16321.22,17393.29,33714.51
95298088,493102,283043,23152.86,24680.06,47832.92
95298089,493102,283093,25912.38,27628.75,53541.13
95298090,493102,283143,6083.03,6624.46,12707.49
95298091,493102,283193,30122.16,32103.02,62225.18
95298092,493102,283243,33779.72,36025.2,69804.92
95298093,493102,283293,31934.43,34022.3,65956.73
95298094,493102,283343,202876.96,235166.62,438043.58
95298095,493102,283393,196002.44,227076.65,423079.09
95298096,493102,283443,177428.58,205648.2,383076.78
95298097,493102,283493,122576.08,142175.12,264751.2
95298098,493102,283543,118085.4,136840.86,254926.26
95298099,493102,283593,152404.13,176580.83,328984.96
95298100,493102,283643,104247.42,120711.94,224959.36
95298101,493102,283693,22636.68,23682.01,46318.69
95298102,493102,283743,67093.22,70285.35,137378.57
95298103,493102,283793,103415.79,108313.44,211729.23
95298104,493102,283843,46487.27,53108.5,99595.77
95298105,493102,283893,45644.32,52199.55,97843.87
95298106,493102,283943,29288.69,33501.11,62789.8
95298107,493102,283993,18710.46,21383.12,40093.58
95298108,493102,284043,55872.17,63843.01,119715.18
95298109,493102,284093,46678.42,53377.2,100055.62
95298110,493102,284143,50808.32,58004.67,108812.99
95298111,493102,284193,72335.14,82567.84,154902.98
95298112,493102,284243,125093.72,141273.72,266367.44
95298113,493102,284293,145664.63,164504.33,310168.96
95298114,493102,284343,67342.66,76106.06,143448.72
95298115,493102,284393,31912.81,36032.34,67945.15
95298116,493102,284443,161274.63,182189.02,343463.65
95298117,493102,284493,116344.99,131505.81,247850.8
95298118,493102,284543,32372.12,36520.98,68893.1
95298119,493102,284593,22984.55,19712.94,42697.49
95298120,493102,284643,19059.99,16349.14,35409.13
95298121,493102,284693,4723.59,5097.74,9821.33
95298122,493102,284743,17219.82,18677.74,35897.56
95298123,493102,284793,32914.01,35666,68580.01
95298124,493102,284843,90.63,106.93,197.56
95298125,493102,284893,9410.46,10193.05,19603.51
95298126,493102,284943,6953.72,7524.33,14478.05
95298127,493102,284993,9069.88,9795.84,18865.72
95298128,493102,285043,207.85,239.34,447.19
95298131,493102,285193,7780.86,6644.82,14425.68
95298132,493102,285243,10613.2,8999.19,19612.39
95298133,493102,285293,16909.76,14393.38,31303.14
95298134,493102,285343,21140.59,17949.55,39090.14
95298135,493102,285393,22170.91,18823.4,40994.31
95298136,493102,285443,22784.8,19273.51,42058.31
95298137,493102,285493,23344.94,19777.51,43122.45
95298138,493102,285543,23344.94,19777.51,43122.45
95298139,493102,285593,23343.04,19775.61,43118.65
95298140,493102,285643,23343.04,19775.61,43118.65
95298141,493102,285693,17861.97,18787,36648.97
95298142,493102,285743,22101.07,23229.43,45330.5
95298143,493102,285793,22102.84,23231.11,45333.95
95298144,493102,285843,22102.84,23231.11,45333.95
95298145,493102,285893,22102.84,23231.11,45333.95
95298146,493102,285943,22101.47,23229.75,45331.22
95298147,493102,285993,22101.47,23229.75,45331.22
95298148,493102,286043,22099.7,23228.07,45327.77
95310272,493152,282793,15644.08,16679.67,32323.75
95310274,493152,282893,15644.08,16679.67,32323.75
95310275,493152,282943,15639.29,16674.18,32313.47
95310276,493152,282993,16799.3,17918.25,34717.55
95310277,493152,283043,21927.45,23392.82,45320.27
95310278,493152,283093,16386.45,17454.98,33841.43
95310279,493152,283143,15410.55,16419.77,31830.32
95310280,493152,283193,20582.82,21946.75,42529.57
95310281,493152,283243,26063.5,27779.91,53843.41
95310282,493152,283293,33253.98,35446.71,68700.69
95310283,493152,283343,221963.31,257095.7,479059.01
95310284,493152,283393,231970.73,268821.46,500792.19
95310285,493152,283443,160086.85,185288.96,345375.81
95310286,493152,283493,73005.01,84547.85,157552.86
95310287,493152,283543,108786.69,126049.07,234835.76
95310288,493152,283593,66837.63,77542.77,144380.4
95310289,493152,283643,147387.31,170834.79,318222.1
95310290,493152,283693,213875.61,248207.91,462083.52
95310291,493152,283743,150048.28,174162.35,324210.63
95310292,493152,283793,193231.87,224221.43,417453.3
95310293,493152,283843,54612.94,62428.93,117041.87
95310294,493152,283893,47752.49,54604.74,102357.23
95310295,493152,283943,55671.9,63677.31,119349.21
95310296,493152,283993,80059.9,91459.39,171519.29
95310297,493152,284043,86089.93,98339.56,184429.49
95310298,493152,284093,73029.18,83466.7,156495.88
95310299,493152,284143,86795.82,99180.82,185976.64
95310300,493152,284193,57642.81,65908.61,123551.42
95310301,493152,284243,76429.39,93316.52,169745.91
95310302,493152,284293,126929.66,143375.36,270305.02
95310303,493152,284343,66889.02,75698.11,142587.13
95310305,493152,284443,88860.78,100373.28,189234.06
95310307,493152,284543,49171.04,55462.41,104633.45
95310308,493152,284593,21341.72,22517.08,43858.8
95310309,493152,284643,14563.4,15372.21,29935.61
95310310,493152,284693,28873.16,30477.88,59351.04
95310311,493152,284743,26953.6,29187.89,56141.49
95310312,493152,284793,32459.1,35189.99,67649.09
95310313,493152,284843,10810.15,11697.25,22507.4
95310314,493152,284893,8667.9,9369.12,18037.02
95310315,493152,284943,16500.66,17868.15,34368.81
95310316,493152,284993,12903.21,13994.54,26897.75
95310317,493152,285043,2726.32,2956.98,5683.3
95310320,493152,285193,13022.19,11020.49,24042.68
95310321,493152,285243,19933.58,16897.75,36831.33
95310322,493152,285293,24751.89,20958.09,45709.98
95310323,493152,285343,28876.65,24480.2,53356.85
95310324,493152,285393,29304.26,24845.79,54150.05
95310325,493152,285443,26198.81,22193,48391.81
95310326,493152,285493,23754.37,20121.19,43875.56
95310327,493152,285543,23344.9,19777.51,43122.41
95310328,493152,285593,23344.94,19777.51,43122.45
95310329,493152,285643,17861.97,18787,36648.97
95310330,493152,285693,17861.97,18787,36648.97
95310331,493152,285743,22099.7,23228.07,45327.77
95310332,493152,285793,22099.7,23228.07,45327.77
95310333,493152,285843,22101.47,23229.75,45331.22
95310334,493152,285893,22099.7,23228.07,45327.77
95310335,493152,285943,22099.7,23228.07,45327.77
95310336,493152,285993,22099.7,23228.07,45327.77
95310337,493152,286043,22099.7,23228.07,45327.77
95322461,493202,282793,15642.61,16677.79,32320.4
95322462,493202,282843,15640.9,16675.92,32316.82
95322463,493202,282893,15640.9,16675.92,32316.82
95322464,493202,282943,15642.37,16677.8,32320.17
95322465,493202,282993,16993.36,18113.55,35106.91
95322466,493202,283043,1724.72,1830.19,3554.91
95322467,493202,283093,1284.04,1332.93,2616.97
95322468,493202,283143,4391.08,4816.38,9207.46
95322469,493202,283193,15855.92,16902.81,32758.73
95322470,493202,283243,18453.38,19666.1,38119.48
95322471,493202,283293,78757.78,96522.91,175280.69
95322472,493202,283343,69301.71,84861.73,154163.44
95322473,493202,283393,262272.22,322731.27,585003.49
95322474,493202,283443,105274.39,128908.81,234183.2
95322475,493202,283493,101428.89,124201.45,225630.34
95322476,493202,283543,67667.05,82861.18,150528.23
95322477,493202,283593,17848.2,21843.19,39691.39
95322478,493202,283643,86404.81,100254.67,186659.48
95322479,493202,283693,127487.93,147955.93,275443.86
95322480,493202,283743,101261.88,117608.85,218870.73
95322481,493202,283793,96692.97,112287.64,208980.61
95322482,493202,283843,103059.92,119658.1,222718.02
95322483,493202,283893,55152.88,63020.5,118173.38
95322484,493202,283943,41897.88,47889.41,89787.29
95322485,493202,283993,71586.04,81779.86,153365.9
95322486,493202,284043,92398.37,105461.87,197860.24
95322487,493202,284093,80463.25,91877.55,172340.8
95322488,493202,284143,196566.54,224330.9,420897.44
95322489,493202,284193,37429.35,45591.59,83020.94
95322490,493202,284243,95965.96,116975.82,212941.78
95322491,493202,284293,57676.26,70395.83,128072.09
95322492,493202,284343,51951.09,63442.95,115394.04
95322493,493202,284393,42888.63,52328.25,95216.88
95322494,493202,284443,168856.57,190590.09,359446.66
95322496,493202,284543,37563.72,39677.43,77241.15
95322497,493202,284593,30395.61,32122.94,62518.55
95322498,493202,284643,109586.01,115750.75,225336.76
95322499,493202,284693,67558.03,71352.32,138910.35
95322500,493202,284743,97630.3,103159.18,200789.48
95322501,493202,284793,115621.32,122115.56,237736.88
95322502,493202,284843,753.44,790.18,1543.62
95322503,493202,284893,14122.66,15284.92,29407.58
95322504,493202,284943,94702.64,97791.76,192494.4
95322506,493202,285043,9203.59,9522.98,18726.57
